   eV                        Inte
   0.0000000000000000        0.0000000000000000     
   5.0008334722453744E-003   1.2341322458141377E-002
   1.0001666944490749E-002   2.5856508196185839E-002
   1.5002500416736123E-002   4.0658865812520213E-002
   2.0003333888981498E-002   5.6841782894125420E-002
   2.5004167361226872E-002   7.4481921848354102E-002
   3.0005000833472247E-002   9.3642124262623916E-002
   3.5005834305717617E-002  0.11449605694278055     
   4.0006667777962995E-002  0.13698645144138896     
   4.5007501250208373E-002  0.16143144365197742     
   5.0008334722453744E-002  0.18791064950775219     
   5.5009168194699115E-002  0.21664726494954897     
   6.0010001666944493E-002  0.24738049351687064     
   6.5010835139189871E-002  0.28081873154407122     
   7.0011668611435235E-002  0.31651049102858753     
   7.5012502083680613E-002  0.35502020637485371     
   8.0013335555925991E-002  0.39639866892541281     
   8.5014169028171369E-002  0.44105829491558679     
   9.0015002500416746E-002  0.48866342106626032     
   9.5015835972662110E-002  0.53980622693288627     
  0.10001666944490749       0.59470544375409418     
  0.10501750291715287       0.65338067474944550     
  0.11001833638939823       0.71622851064366444     
  0.11501916986164361       0.78344656271851598     
  0.12002000333388899       0.85522402161979949     
  0.12502083680613435       0.93193306293859002     
  0.13002167027837974        1.0137433628319354     
  0.13502250375062511        1.1010045478174519     
  0.14002333722287047        1.1938647577555468     
  0.14502417069511586        1.2930206425914930     
  0.15002500416736123        1.3984044915870439     
  0.15502583763960662        1.5108561732774741     
  0.16002667111185198        1.6302782923226535     
  0.16502750458409735        1.7572837402263095     
  0.17002833805634274        1.8922778292089810     
  0.17502917152858810        2.0356422690876852     
  0.18003000500083349        2.1879049775297847     
  0.18503083847307886        2.3497275024992508     
  0.19003167194532422        2.5212384164679138     
  0.19503250541756961        2.7032007218421210     
  0.20003333888981498        2.8961684369100293     
  0.20503417236206034        3.1005027189650485     
  0.21003500583430573        3.3172989431028070     
  0.21503583930655110        3.5466793575475086     
  0.22003667277879646        3.7896336327072460     
  0.22503750625104185        4.0466480609020739     
  0.23003833972328722        4.3185922108310084     
  0.23503917319553261        4.6062677601825257     
  0.24004000666777797        4.9102789472620927     
  0.24504084014002334        5.2318372480297644     
  0.25004167361226870        5.5715414024738186     
  0.25504250708451409        5.9303169276522034     
  0.26004334055675948        6.3092563532663837     
  0.26504417402900482        6.7093585044253743     
  0.27004500750125021        7.1315357204921153     
  0.27504584097349560        7.5770767408331325     
  0.28004667444574094        8.0469329949755988     
  0.28504750791798633        8.5426223623733666     
  0.29004834139023172        9.0649943198631853     
  0.29504917486247711        9.6157512734213366     
  0.30005000833472245        10.196033620303133     
  0.30505084180696784        10.807268211555694     
  0.31005167527921323        11.451130147572789     
  0.31505250875145857        12.129133844844219     
  0.32005334222370396        12.842738335316087     
  0.32505417569594935        13.593793049121841     
  0.33005500916819469        14.384052115528918     
  0.33505584264044008        15.215432538499771     
  0.34005667611268547        16.089741679015276     
  0.34505750958493081        17.009084211922865     
  0.35005834305717620        17.975584718504958     
  0.35505917652942159        18.991377771688768     
  0.36006001000166699        20.058746918854361     
  0.36506084347391232        21.180098130633507     
  0.37006167694615771        22.357796191175392     
  0.37506251041840311        23.594637935010702     
  0.38006334389064844        24.893191399077207     
  0.38506417736289383        26.256202422020749     
  0.39006501083513923        27.686750487006254     
  0.39506584430738456        29.187706639454333     
  0.40006667777962995        30.762284281393072     
  0.40506751125187535        32.413868043230536     
  0.41006834472412068        34.145754382443407     
  0.41506917819636607        35.961533679006713     
  0.42007001166861146        37.864932739563415     
  0.42507084514085680        39.859783264384006     
  0.43007167861310219        41.950144928411603     
  0.43507251208534758        44.140113751836004     
  0.44007334555759292        46.434040068815086     
  0.44507417902983831        48.836432786800060     
  0.45007501250208370        51.351966664193668     
  0.45507584597432910        53.985442981546363     
  0.46007667944657443        56.742010257727145     
  0.46507751291881982        59.626809347398058     
  0.47007834639106522        62.645397630590558     
  0.47507917986331055        65.803281688761530     
  0.48008001333555594        69.106435777935175     
  0.48508084680780134        72.560921375476880     
  0.49008168028004667        76.173068193488945     
  0.49508251375229206        79.949449478113024     
  0.50008334722453740        83.896824550712950     
  0.50508418069678285        88.022286643499200     
  0.51008501416902818        92.333159266859226     
  0.51508584764127352        96.837031205645204     
  0.52008668111351897        101.54178327309144     
  0.52508751458576430        106.45560780883550     
  0.53008834805800964        111.58693567105087     
  0.53508918153025509        116.94456751490951     
  0.54009001500250042        122.53759070556811     
  0.54509084847474576        128.37541167965185     
  0.55009168194699121        134.46783123752687     
  0.55509251541923654        140.82492927233088     
  0.56009334889148188        147.45718281315030     
  0.56509418236372733        154.37544359191705     
  0.57009501583597266        161.59096100177305     
  0.57509584930821811        169.11533037299228     
  0.58009668278046345        176.96061912558682     
  0.58509751625270878        185.13923641454210     
  0.59009834972495423        193.66412696882929     
  0.59509918319719957        202.54859029103739     
  0.60010001666944490        211.80641496237106     
  0.60510085014169035        221.45189277625715     
  0.61010168361393569        231.49977039749922     
  0.61510251708618102        241.96531072398554     
  0.62010335055842647        252.86428736070786     
  0.62510418403067181        264.21299148653412     
  0.63010501750291714        276.02828149256504     
  0.63510585097516259        288.32760313610049     
  0.64010668444740793        301.12892290836209     
  0.64510751791965326        314.45086246930697     
  0.65010835139189871        328.31260014357463     
  0.65510918486414405        342.73398171557864     
  0.66011001833638938        357.73549626181403     
  0.66511085180863483        373.33830313511527     
  0.67011168528088016        389.56422167029774     
  0.67511251875312550        406.43579245952185     
  0.68011335222537095        423.97629705762080     
  0.68511418569761628        442.20971873621056     
  0.69011501916986162        461.16083165711711     
  0.69511585264210707        480.85519975034475     
