nm      KM         Reflect
1000	0.010875   0.8629957735177114
998	0.010742   0.8637746887910106
996	0.010012   0.8681520685746682
994	0.010311   0.8663376805237861
992	0.010422   0.8656718080001278
990	0.010632   0.8644231103113083
988	0.009682   0.8701909926769471
986	0.009718   0.8699666510834342
984	0.010099   0.8676209673037275
982	0.009904   0.8688150592002338
980	0.010513   0.8651289459603635
978	0.011353   0.8602408211096143
976	0.009944   0.868569026486298
974	0.010561   0.864843689013968
972	0.010963   0.8624834143021671
970	0.010997   0.8622860925015925
968	0.010816   0.8633406262727237
966	0.01174    0.8580590721006668
964	0.010478   0.8653374182042803
962	0.010862   0.8630716652551332
960	0.011374   0.8601213376234325
958	0.011224   0.8609776084426659
956	0.01151    0.8593506095569523
954	0.009801   0.8694512240792671
952	0.010058   0.8678709282810851
950	0.010559   0.8648555598175529
948	0.010991   0.8623208884072527
946	0.011357   0.8602180525079651
944	0.012959   0.851447589625996
942	0.01056    0.8648496242541394
940	0.011604   0.8588209747125031
938	0.011268   0.8607257540223343
936	0.011913   0.857097239920478
934	0.012076   0.8561983884709548
932	0.012018   0.8565174137503005
930	0.010955   0.8625298942227088
928	0.010974   0.862419536330947
926	0.010768   0.8636219846818808
924	0.011848   0.8574576664165783
922	0.01169    0.8583385862471429
920	0.01172    0.8581707948571538
918	0.011195   0.8611439152821609
916	0.011768   0.8579028453222761
914	0.012895   0.8517854688573634
912	0.013255   0.8498974319934945
910	0.013355   0.8493783064578995
908	0.013245   0.8499494702847012
906	0.011702   0.8582714397976718
904	0.012712   0.8527570221343518
902	0.015393   0.8392596855787924
900	0.013206   0.8501526392986634
898	0.014217   0.8449948882976583
896	0.014317   0.8444965757601582
894	0.014118   0.8454902504330909
892	0.016554   0.8338464880690455
890	0.014328   0.8444418864297617
888	0.01502    0.8410498864747162
886	0.015773   0.8374620706406359
884	0.016017   0.8363213008611508
882	0.017045   0.831625119660809
880	0.013014   0.8511580016681487
878	0.012545   0.8536507678044917
876	0.015765   0.8374996493987126
874	0.014031   0.8459272553629463
872	0.013034   0.8510528740747865
870	0.018697   0.8244199354529983
868	0.018797   0.8239962628119701
866	0.013855   0.8468161990434557
864	0.016651   0.8334045653798416
862	0.014731   0.8424550517048301
860	0.017658   0.828904708733331
858	0.017393   0.8300737098855006
856	0.016681   0.8332681984811315
854	0.009912   0.8687658071926849
852	0.012661   0.85302923335877
850	0.017719   0.8286371051475311
848	0.021942   0.8113109211820826
846	0.037186   0.761950103729183
844	0.023219   0.8064769367981375
842	0.022279   0.8100188910746534
840	0.018537   0.8251006529268607
838	0.022172   0.8104278204247394
836	0.022451   0.8093640520163188
834	0.020546   0.8167958144393488
832	0.025453   0.7983982594438958
830	0.024027   0.8035019521505548
828	0.017542   0.8294151232279665
826	0.022697   0.8084327850479928
824	0.024527   0.8016916937108038
822	0.024631   0.8013180219602094
820	0.022938   0.8075264129300378
818	0.025125   0.7995562396961846
816	0.027625   0.790954045666774
814	0.023303   0.8061647265220154
812	0.021174   0.8143012413390295
810	0.024617   0.801368267217482
808	0.021571   0.8127473709706203
806	0.022065   0.8108379557442987
804	0.024683   0.8011315506891086
802	0.024225   0.8027823423547309
800	0.026545   0.7946082909067649
798	0.029915   0.7834907576353336
796	0.0255     0.7982330864379943
794	0.025177   0.7993720369699547
792	0.027347   0.7918860512016909
790	0.029852   0.7836911950289404
788	0.030179   0.7826537042401527
786	0.02764    0.7909039241687063
784	0.031215   0.7794127438047862
782	0.02986    0.7836657279301569
780	0.028859   0.7868861877234967
778	0.031958   0.7771299917983897
776	0.031565   0.7783331907322855
774	0.034704   0.7689741228389999
772	0.036052   0.7651207417369493
770	0.034659   0.7691043986823047
768	0.034324   0.7700776434007083
766	0.033864   0.7714239678097874
764	0.03233    0.7759996879025035
762	0.033293   0.7731114790401132
760	0.034094   0.7707493573052981
758	0.035597   0.7664109186194797
