nm,Reflect,KM
1000,0.8611152239565915,0.0112
998,0.8618462888220066,0.011073
996,0.8642222785367699,0.010666
994,0.8656239749181686,0.01043
992,0.8640159244094681,0.010701
990,0.8591869454651168,0.011539
988,0.8646420828486121,0.010595
986,0.8702721221260679,0.009669
984,0.8630191192510552,0.010871
982,0.8666389678426736,0.010261
980,0.863915835424678,0.010718
978,0.8597013140263028,0.011448
976,0.8641691788699164,0.010675
974,0.8619329539346253,0.011058
972,0.8658453799953796,0.010393
970,0.864110209449237,0.010685
968,0.8660072318007661,0.010366
966,0.8648258852324483,0.010564
964,0.8646776333385915,0.010589
962,0.8569423307121642,0.011941
960,0.8657735233948015,0.010405
958,0.8618347385924296,0.011075
956,0.8625531415215171,0.010951
954,0.8687781180597375,0.00991
952,0.8670682472857464,0.01019
950,0.8697489964536738,0.009753
948,0.8688889799472366,0.009892
946,0.8593167284642922,0.011516
944,0.8565780192756829,0.012007
942,0.86102346138373,0.011216
940,0.8609432311212986,0.01123
938,0.8681275922423541,0.010016
936,0.861529094977269,0.011128
934,0.864110209449237,0.010685
932,0.8596333501653941,0.01146
930,0.8643994638812853,0.010636
928,0.8628441467273467,0.010901
926,0.8679075569007358,0.010052
924,0.861956076084206,0.011054
922,0.8707539415866095,0.009592
920,0.8632177581343135,0.010837
918,0.8663256464962983,0.010313
916,0.8687842740268383,0.009909
914,0.8596276883684615,0.011461
912,0.8559021634919056,0.01213
910,0.8678709282810851,0.010058
908,0.8616328040803547,0.01111
906,0.8693088372025277,0.009824
904,0.8652956917676093,0.010485
902,0.8599679032179559,0.011401
900,0.860989069908092,0.011222
898,0.8573133585805237,0.011874
896,0.8577579703316135,0.011794
894,0.8689013050631369,0.00989
892,0.8510633825952695,0.013032
890,0.8561764195407935,0.01208
888,0.8616385685394601,0.011109
886,0.8699106399808663,0.009727
884,0.8547140153900817,0.012348
882,0.8530773368983657,0.012652
880,0.8605429437803982,0.0113
878,0.8492488804644291,0.01338
876,0.8680664259093447,0.010026
874,0.8706411110355996,0.00961
872,0.8708229531666717,0.009581
870,0.8517114743335055,0.012909
868,0.8515161424271217,0.012946
866,0.8709045707044574,0.009568
864,0.8598543834876564,0.011421
862,0.8813257189259741,0.00799
860,0.8854763119170725,0.007406
858,0.8907248546061379,0.006703
856,0.8861394693636543,0.007315
854,0.8708104022402127,0.009583
852,0.884882656951665,0.007488
850,0.8588659531329874,0.011596
848,0.8530452656584064,0.012658
846,0.821407570278285,0.019415
844,0.8898914998984351,0.006812
842,0.8589784778182814,0.011576
840,0.8618174155042934,0.011078
838,0.8563302908390742,0.012052
836,0.8519653651275769,0.012861
834,0.8641632804975631,0.010676
832,0.8482698339383772,0.01357
830,0.8649030559671372,0.010551
828,0.8740283421551914,0.009078
826,0.8489956151871836,0.013429
824,0.8413693747706907,0.014954
822,0.8521667541550282,0.012823
820,0.8509320936808281,0.013057
818,0.8439953526669646,0.014418
816,0.8532485332940678,0.01262
814,0.8584449831458116,0.011671
812,0.8584729989979966,0.011666
810,0.8525546114895939,0.01275
808,0.8642576926411342,0.01066
806,0.8646243119462953,0.010598
804,0.8623672999915559,0.010983
802,0.8592433544486227,0.011529
800,0.8507642578286359,0.013089
798,0.8488975557465739,0.013448
796,0.8623208884072527,0.010991
794,0.862089122205338,0.011031
792,0.8540867563821114,0.012464
790,0.8525546114895939,0.01275
788,0.8479418578930193,0.013634
786,0.8505652636380876,0.013127
784,0.8417383024029443,0.014878
782,0.8547248601868394,0.012346
780,0.8586412402988913,0.011636
778,0.857424348326495,0.011854
776,0.8555793843277817,0.012189
774,0.8504920347988645,0.013141
772,0.8546923288599144,0.012352
770,0.8590460466436827,0.011564
768,0.8552793048102856,0.012244
766,0.8575854764497765,0.011825
764,0.856297300964589,0.012058
762,0.8523684914199914,0.012785
760,0.8627742354277247,0.010913
758,0.8636219846818808,0.010768
756,0.8583497812024676,0.011688
754,0.856782110975115,0.01197
752,0.8549148096998532,0.012311
750,0.8571526158033846,0.011903
748,0.8486295963491323,0.0135
746,0.8507328152863168,0.013095
744,0.8557105746071718,0.012165
742,0.8520130311398378,0.012852
740,0.8523259914001006,0.012793
738,0.8536131667842,0.012552
736,0.8538551010230255,0.012507
734,0.853645395482585,0.012546
732,0.854806228738461,0.012331
730,0.8510686372085164,0.013031
728,0.8533663774999442,0.012598
726,0.8562643206165041,0.012064
724,0.8591362015590662,0.011548
722,0.8566938102543464,0.011986
720,0.8550180566272975,0.012292
718,0.8582490665105027,0.011706
716,0.8555957749027733,0.012186
714,0.8548225093528491,0.012328
712,0.8587366885280706,0.011619
710,0.8580032520669139,0.01175
708,0.854974572938765,0.0123
706,0.8563302908390742,0.012052
704,0.8553174531965504,0.012237
702,0.8602806773213652,0.011346
700,0.8600303881479606,0.01139
698,0.8588659531329874,0.011596
696,0.8580088328314946,0.011749
694,0.8601611512738355,0.011367
692,0.8599849411048045,0.011398
690,0.8566276295814418,0.011998
688,0.8570806324123582,0.011916
686,0.856798674981651,0.011967
684,0.85560670325491,0.012184
682,0.8537582666299394,0.012525
680,0.8510738920571371,0.01303
678,0.8507694990705,0.013088
676,0.8491040911481407,0.013408
674,0.8519283050083664,0.012868
672,0.8537582666299394,0.012525
670,0.851769608944916,0.012898
668,0.8525173636767738,0.012757
666,0.8537045047385424,0.012535
664,0.8510423664954696,0.013036
662,0.854270255121602,0.01243
660,0.856434821704109,0.012033
658,0.8533556594412227,0.0126
