nm     Reflect             KM          
1000   0.7380999627065352  0.046465    
998    0.7371238234447635  0.046874    
996    0.7378798964613669  0.046557    
994    0.7382029186893194  0.046422    
992    0.7376696676108268  0.046645    
990    0.7323191540178455  0.048922    
988    0.7355628314117195  0.047533    
986    0.7360161370657974  0.047341    
984    0.7351413120844501  0.047712    
982    0.7342826939739215  0.048078    
980    0.7367957397169517  0.047012    
978    0.7283051418310779  0.050678    
976    0.7339857739411859  0.048205    
974    0.7288958126903611  0.050417    
972    0.731836412650956   0.049131    
970    0.7322497766039522  0.048952    
968    0.7262191046366353  0.051607    
966    0.7262771427203787  0.051581    
964    0.7283751914144517  0.050647    
962    0.7252665173934303  0.052035    
960    0.7258512427843848  0.051772    
958    0.7247855566748861  0.052252    
956    0.7245113245986999  0.052376    
954    0.7200009568132716  0.054444    
952    0.7220648587844948  0.053491    
950    0.7264267929370334  0.051514    
948    0.7256420248602197  0.051866    
946    0.7208274606901041  0.054061    
944    0.7207820409180945  0.054082    
942    0.7211717404743598  0.053902    
940    0.7253242343910111  0.052009    
938    0.7187439597009713  0.05503     
936    0.7162505883136678  0.056205    
934    0.7194528507290501  0.054699    
932    0.7105749801574779  0.058943    
930    0.7150516751766127  0.056776    
928    0.7144563331885274  0.057061    
926    0.7125007959396036  0.058004    
924    0.7153197182769642  0.056648    
922    0.7060801103930106  0.061175    
920    0.702780392146185   0.06285     
918    0.7145898476082895  0.056997    
916    0.7055400826620531  0.061447    
914    0.6924625210284856  0.068292    
912    0.7007967565806781  0.063872    
910    0.7012431842215381  0.063641    
908    0.7064862149372277  0.060971    
906    0.7011367904686465  0.063696    
904    0.6961142940932947  0.06633     
902    0.6991483088555994  0.06473     
900    0.6911005493026582  0.069034    
898    0.6863273696141925  0.071679    
896    0.6842871098653072  0.072831    
894    0.6907625692698565  0.069219    
892    0.6790342631904769  0.075857    
890    0.6821075653321047  0.074076    
888    0.6840055425841731  0.072991    
886    0.6866321835812492  0.071508    
884    0.6773971628820548  0.076818    
882    0.6704479879185281  0.080994    
880    0.6771006119141549  0.076993    
878    0.6747369461392144  0.078398    
876    0.6741245111398269  0.078765    
874    0.688845352981051   0.070275    
872    0.6756569230007134  0.077849    
870    0.6744162896971155  0.07859     
868    0.6603812816069865  0.087329    
866    0.6745782180855472  0.078493    
864    0.6662564546193297  0.08359     
862    0.6770075091693841  0.077048    
860    0.6641752225617739  0.084901    
858    0.6860177325489802  0.071853    
856    0.6875102669574108  0.071017    
854    0.6715963327160595  0.080293    
852    0.6674962558798823  0.082816    
850    0.6977348890307644  0.065472    
848    0.6889139923424498  0.070237    
846    0.6464284977760393  0.096695    
844    0.6510075834917084  0.093544    
842    0.6496415200234587  0.094476    
840    0.6475993236405404  0.095882    
838    0.6383436266191265  0.102449    
836    0.6133587318084733  0.121863    
834    0.6211984341359431  0.115495    
832    0.6265653922944572  0.111284    
830    0.6266183978087783  0.111243    
828    0.6230091578071415  0.114061    
826    0.6043317648107702  0.129526    
824    0.6128503906289836  0.122285    
822    0.616853477215699   0.118992    
820    0.6137704894320847  0.121522    
818    0.6143031027242749  0.121082    
816    0.6069594332481781  0.127258    
814    0.6128792648337301  0.122261    
812    0.6214700816510095  0.115279    
810    0.6168461066410286  0.118998    
808    0.6135832169943426  0.121677    
806    0.6127301283221165  0.122385    
804    0.6057349646510757  0.128311    
802    0.603352735340448   0.130379    
800    0.5975756184160512  0.135502    
798    0.5973668850402204  0.13569     
796    0.6049703045981624  0.128972    
794    0.600987284189618   0.132458    
792    0.5963553046605296  0.136604    
790    0.5921442188223673  0.140461    
788    0.5919617970758648  0.14063     
786    0.5913123145470885  0.141233    
784    0.5811317166143233  0.150956    
782    0.5857922985112692  0.146441    
780    0.5833008658972116  0.148841    
778    0.5809859341955053  0.151099    
776    0.5795199927402565  0.152543    
774    0.5759280755050032  0.156128    
772    0.5703236632817724  0.161857    
770    0.5686858236274316  0.163563    
768    0.5690044259121795  0.16323     
766    0.5636996547947185  0.168847    
764    0.5678045273489256  0.164487    
762    0.5655811604699377  0.166837    
760    0.5625174865094779  0.17012     
758    0.5569290063222975  0.176245    
756    0.5559047816147916  0.177387    
754    0.5550889601604282  0.178301    
752    0.5509049988333374  0.18305     
750    0.5484045186486282  0.185938    
748    0.5449325705660281  0.190011    
746    0.5392891386482622  0.196791    
744    0.5390235753293848  0.197115    
742    0.5392432124432373  0.196847    
740    0.5345909669917178  0.20259     
738    0.5342982864155384  0.202956    
736    0.5363250362704569  0.200433    
734    0.5318647477550178  0.206021    
732    0.5298065240633808  0.208644    
730    0.5257311673932296  0.213922    
728    0.5225674560236769  0.218098    
726    0.5206262297888157  0.220695    
724    0.5184927597240182  0.22358     
722    0.5209313832759567  0.220285    
720    0.5205756663749194  0.220763    
718    0.5145722302200135  0.228967    
716    0.5113902624122398  0.233422    
714    0.5105359053052492  0.234631    
712    0.5112288468628566  0.23365     
710    0.5086529320803093  0.237315    
708    0.5045097494471232  0.243316    
706    0.5038464866871838  0.244289    
704    0.5021853465522539  0.246741    
702    0.500601630732078   0.249099    
700    0.4992720817001942  0.251094    
698    0.4970526359092402  0.254456    
696    0.49219374428497176 0.261957    
694    0.4903663480657702  0.264829    
692    0.4879544707978398  0.268663    
690    0.4861364755899332  0.271586    
688    0.48676078431411784 0.270579    
686    0.4833031130129378  0.276199    
684    0.4769311061798752  0.286835    
682    0.47521607360183016 0.289761    
680    0.4762340227448828  0.288021    
678    0.47304868651134824 0.293498    
676    0.4701502130574926  0.298565    
674    0.469516245955072   0.299684    
