nm,Reflect,KM
1000,0.8849331915291829,0.007481
998,0.8829392581339145,0.00776
996,0.8871688308877418,0.007175
994,0.8857963837921261,0.007362
992,0.8862931634904953,0.007294
990,0.8867336649133288,0.007234
988,0.8874205177047797,0.007141
986,0.8841636193290814,0.007588
984,0.8850054299772381,0.007471
982,0.8901506392136055,0.006778
980,0.8845943968477296,0.007528
978,0.8798821125650248,0.008199
976,0.8827837619164178,0.007782
974,0.8799644319045206,0.008187
972,0.8877621083690667,0.007095
970,0.8853601874458676,0.007422
968,0.8870063314395842,0.007197
966,0.884522466655629,0.007538
964,0.8847600407348626,0.007505
962,0.8846663808653716,0.007518
960,0.8821572273217454,0.007871
958,0.8844865217105571,0.007543
956,0.8853674410965426,0.007421
954,0.8880377690978543,0.007058
952,0.8897774039776306,0.006827
950,0.8844074900372729,0.007554
948,0.8836135903949495,0.007665
946,0.8810061716288657,0.008036
944,0.8869030679215204,0.007211
942,0.8862858390864553,0.007295
940,0.886007928852277,0.007333
938,0.8842639619820023,0.007574
936,0.8816253676126695,0.007947
934,0.8820940929992543,0.00788
932,0.8835352694721026,0.007676
930,0.8888997653399826,0.006943
928,0.8870580055106044,0.00719
926,0.8894359561974265,0.006872
924,0.8786757402624038,0.008376
922,0.8893224187308095,0.006887
920,0.8915658259033905,0.006594
918,0.894993702949141,0.00616
916,0.8835210361034869,0.007678
914,0.8799026860042969,0.008196
912,0.8813396358415938,0.007988
910,0.8883217253705846,0.00702
908,0.8853674410965426,0.007421
906,0.8834925756354437,0.007682
904,0.8934611327697412,0.006352
902,0.8829675568812553,0.007756
900,0.8795330139414375,0.00825
898,0.8757512832232857,0.008814
896,0.8751410303029205,0.008907
894,0.8820099772008724,0.007892
892,0.8701847545307466,0.009683
890,0.8848393627619409,0.007494
888,0.8805356856895892,0.008104
886,0.8779332819279505,0.008486
884,0.8733253020531538,0.009187
882,0.866055234385476,0.010358
880,0.872111096990549,0.009377
878,0.8899143359601037,0.006809
876,0.8967664195618826,0.005942
874,0.895826844194068,0.006057
872,0.8878439771217727,0.007084
870,0.8833575023774866,0.007701
868,0.8795056853857884,0.008254
866,0.8948006895087058,0.006184
864,0.8873686449174157,0.007148
862,0.879069444402655,0.008318
860,0.8785335732432726,0.008397
858,0.8598600567432148,0.01142
856,0.8834996899690617,0.007681
854,0.884529657255756,0.007537
852,0.8822204024138498,0.007862
850,0.8769961862190787,0.008626
848,0.898324448590716,0.005754
846,0.891264041050897,0.006633
844,0.9390949505009719,0.001975
842,0.8824735118874775,0.007826
840,0.8856507635649752,0.007382
838,0.8671712869717989,0.010173
836,0.8664701433747297,0.010289
834,0.8825298476311498,0.007818
832,0.8619040580320442,0.011063
830,0.8653493429862043,0.010476
828,0.8893451151320558,0.006884
826,0.8675114121396367,0.010117
824,0.8539789519542047,0.012484
822,0.8691172260194515,0.009855
820,0.8681153561768489,0.010018
818,0.864932751578025,0.010546
816,0.8640394880580612,0.010697
814,0.8831162605383927,0.007735
812,0.8894283827159379,0.006873
810,0.8718953030014387,0.009411
808,0.8700538384676914,0.009704
806,0.8731583074348411,0.009213
804,0.8749318892894113,0.008939
802,0.8766835272038717,0.008673
800,0.8754358592179183,0.008862
798,0.870215948946675,0.009678
796,0.873589187865751,0.009146
794,0.8783105744709889,0.00843
792,0.8749253605011755,0.00894
790,0.8636513343544772,0.010763
788,0.8642222785367699,0.010666
786,0.8674688375417137,0.010124
784,0.8659772409901323,0.010371
782,0.8775774998520548,0.008539
780,0.8721746507636088,0.009367
778,0.8640218148462425,0.0107
776,0.8682255312124217,0.01
774,0.8654686628425776,0.010456
772,0.8611266995991573,0.011198
770,0.8672198104167198,0.010165
768,0.8667536779525242,0.010242
766,0.8658693427868723,0.010389
764,0.8674749185933434,0.010123
762,0.8654567249573296,0.010458
760,0.8687288831247956,0.009918
758,0.8664219562676001,0.010297
756,0.8657136792561999,0.010415
754,0.8622571042758107,0.011002
752,0.8587647769205223,0.011614
750,0.8598657302860143,0.011419
748,0.8588434616783946,0.0116
746,0.8614484992593197,0.011142
744,0.8659232784533719,0.01038
742,0.864843689013968,0.010561
740,0.8559514810758514,0.012121
738,0.8568870570570966,0.011951
736,0.8630366317996069,0.010868
734,0.8601611512738355,0.011367
732,0.8613794637263057,0.011154
730,0.8600190246576357,0.011392
728,0.8590066265670127,0.011571
726,0.8606228864121023,0.011286
724,0.86076578372719,0.011261
722,0.8611496544350975,0.011194
720,0.8626927282238688,0.010927
718,0.8573355478542077,0.01187
716,0.8533878165899329,0.012594
714,0.8594240536584492,0.011497
712,0.8624021214740523,0.010977
710,0.8588434616783946,0.0116
708,0.8587591586821104,0.011615
706,0.8586131826562238,0.011641
704,0.8571581548752254,0.011902
702,0.8584898118468512,0.011663
700,0.859395800244698,0.011502
698,0.8580144138712682,0.011748
696,0.8533395842103091,0.012603
694,0.856842857445461,0.011959
692,0.8536615131961561,0.012543
690,0.8505234130051003,0.013135
688,0.8522888165889997,0.0128
686,0.8481006084493038,0.013603
684,0.8446110060495156,0.014294
682,0.8455404003137019,0.014108
680,0.8481108576923689,0.013601
678,0.8485884254674416,0.013508
676,0.8478855778696127,0.013645
674,0.8469176335428213,0.013835
672,0.8466388950709145,0.01389
670,0.8474108144770073,0.013738
668,0.8476198859565531,0.013697
666,0.8466237097850898,0.013893
664,0.846613587329614,0.013895
662,0.844109310568974,0.014395
660,0.8451797857989516,0.01418
658,0.8454351096512381,0.014129
656,0.8450248524553504,0.014211
654,0.8398998340547893,0.015259
652,0.8390977842443572,0.015427
650,0.8406637365683389,0.0151
648,0.8431907856906649,0.014581
646,0.8418745031803635,0.01485
644,0.8407987513816306,0.015072
642,0.8401395461224033,0.015209
640,0.8386986952217408,0.015511
638,0.8379703399085945,0.015665
636,0.8367642201410166,0.015922
634,0.8377865595507854,0.015704
632,0.8358057540512545,0.016128
630,0.8379609086890936,0.015667
628,0.8405866515912014,0.015116
626,0.8365169251607769,0.015975
624,0.837091585187324,0.015852
622,0.8310657042408753,0.01717
620,0.8311818620901551,0.017144
618,0.8339606351582236,0.016529
616,0.831804648960916,0.017005
614,0.8313742001002548,0.017101
612,0.8318990026177169,0.016984
610,0.8311773925383781,0.017145
608,0.8291684651494358,0.017598
606,0.8286064318004089,0.017726
604,0.8294812722394362,0.017527
602,0.8275634736799623,0.017965
600,0.8278898628947866,0.01789
598,0.8263047521895206,0.018256
596,0.8269261099767041,0.018112
594,0.8266236926259789,0.018182
592,0.8250580049408491,0.018547
590,0.82355707815701,0.018901
588,0.8267748139096495,0.018147
586,0.8251177159891443,0.018533
584,0.8179108216107882,0.020269
582,0.8199880859984866,0.019759
580,0.8209809698922647,0.019518
578,0.8192308635689236,0.019944
576,0.8209065578319263,0.019536
574,0.8187094285424418,0.020072
572,0.8196887807194057,0.019832
570,0.818758227528916,0.02006
568,0.8195496053738991,0.019866
566,0.8132230179492479,0.021449
564,0.8120253451431327,0.021757
562,0.8098739523636984,0.022317
560,0.8117971011932497,0.021816
558,0.8162676781373307,0.020678
556,0.8155666664501682,0.020854
554,0.8115383644872297,0.021883
552,0.81005705792086,0.022269
550,0.8112531560649641,0.021957
548,0.8110300236983691,0.022015
546,0.8121221724059673,0.021732
544,0.8101448813890885,0.022246
542,0.8072492781410094,0.023012
540,0.8073166390276443,0.022994
538,0.8073765424817358,0.022978
536,0.8071520360190136,0.023038
534,0.8064620539580529,0.023223
532,0.8062167136044311,0.023289
530,0.8032034910578283,0.024109
528,0.8041044175506108,0.023862
526,0.8038960044722598,0.023919
524,0.8053133810630219,0.023533
522,0.8056200146903555,0.02345
520,0.8051363535538119,0.023581
518,0.8048896220941472,0.023648
516,0.8034800923134318,0.024033
514,0.8045882356099135,0.02373
512,0.8035274595366093,0.02402
510,0.8049043402763917,0.023644
508,0.8044451176684128,0.023769
506,0.8033490037128492,0.024069
504,0.8034837353865597,0.024032
502,0.8036696558504077,0.023981
500,0.7993260230138501,0.02519
498,0.8000853586295771,0.024976
496,0.7994463982193047,0.025156
494,0.8014759949621493,0.024587
492,0.7992128203545705,0.025222
490,0.7962343580596163,0.026073
488,0.7945021243138302,0.026576
486,0.7972773818166308,0.025773
484,0.7969497623594063,0.025867
482,0.7931526492524623,0.026972
480,0.7928679833637937,0.027056
478,0.7960058921667295,0.026139
476,0.7960197283968313,0.026135
474,0.7957639703703725,0.026209
472,0.7972076136582656,0.025793
470,0.7958952495593599,0.026171
468,0.7955224489748993,0.026279
466,0.7961616255156747,0.026094
464,0.7954087272990704,0.026312
462,0.7922665751173155,0.027234
460,0.7936351267716208,0.02683
458,0.7931797890361283,0.026964
456,0.7958019600947968,0.026198
454,0.7928713690071401,0.027055
452,0.7971134797606332,0.02582
450,0.7955293440444081,0.026277
448,0.791141316001277,0.027569
446,0.7960993122108264,0.026112
444,0.7929695865523017,0.027026
442,0.7998969257835524,0.025029
440,0.7940952944434367,0.026695
438,0.795619009588869,0.026251
436,0.7961027733623424,0.026111
434,0.7951609140937699,0.026384
432,0.7964111455440316,0.026022
430,0.7968070954535535,0.025908
428,0.794642554618526,0.026535
426,0.7936895898752777,0.026814
424,0.7954707463274118,0.026294
422,0.791711271848957,0.027399
420,0.7923137880770286,0.02722
418,0.7950028086416809,0.02643
416,0.7892725625082508,0.028131
414,0.7865873055220526,0.028951
412,0.7829607206167791,0.030082
410,0.7814192670319153,0.030571
408,0.7768375057916515,0.032054
406,0.7711596429144641,0.033954
404,0.7672129976744013,0.035316
402,0.7633319391418618,0.036689
400,0.7617674967988216,0.037252
398,0.7502925464382438,0.041553
396,0.7428361980390337,0.044514
394,0.7347138038891984,0.047894
392,0.7287824991470677,0.050467
390,0.7222087102058536,0.053425
388,0.7061258501124177,0.061152
386,0.6999687086251928,0.064302
384,0.6914336672391233,0.068852
382,0.6807966865774592,0.074832
380,0.6701722062235455,0.081163
378,0.661915778929197,0.086341
376,0.6493146724464309,0.0947
374,0.6227644512647292,0.114254
372,0.61177672234136,0.12318
370,0.6033836481001917,0.130352
368,0.590372679026838,0.142109
366,0.5802850717975279,0.151788
364,0.5580057402329387,0.175051
362,0.5440224021828907,0.191091
360,0.5251842151728874,0.214639
358,0.508650837899223,0.237318
356,0.49047908640393056,0.264651
354,0.46955301156233364,0.299619
352,0.4539546150941891,0.328409
350,0.4422282402751646,0.351752
348,0.4187541893360299,0.403395
346,0.39901849322977556,0.452584
344,0.38555232495193015,0.489617
342,0.3695996369910197,0.537615
340,0.3522149909025476,0.595695
338,0.3397939422856642,0.641377
336,0.32719553020952863,0.691736
334,0.30453538981347483,0.794113
332,0.2855577822868234,0.893738
330,0.27777040155004706,0.938933
328,0.2670055539576113,1.006123
326,0.25338105709750125,1.100003
324,0.23789908971309193,1.220681
322,0.22407248773022337,1.343457
320,0.22407248773022337,1.343457
318,0.22407248773022337,1.343457
316,0.21926865668829842,1.389942
314,0.22204150537325695,1.362852
312,0.21668032559011197,1.415887
310,0.21542002496682633,1.428757
308,0.21046142383472466,1.480963
306,0.20647501585709405,1.524838
304,0.20541643867735226,1.536788
302,0.20575907622488065,1.532906
300,0.20544102435428746,1.536509
298,0.20166227278415993,1.580224
296,0.20007469571545267,1.599104
294,0.1998740826311054,1.601512
292,0.19789816983996733,1.625501
290,0.19632090320926876,1.645011
288,0.19364904895669,1.678815
