nm    Reflect              KM          
1000  0.8382819709221366   0.015599    
998   0.8368950635897519   0.015894    
996   0.8349051388920039   0.016323    
994   0.8396892710122013   0.015303    
992   0.8367782325543958   0.015919    
990   0.8360377209400072   0.016078    
988   0.8427047040996878   0.01468     
986   0.8420547151943216   0.014813    
984   0.8357779467165014   0.016134    
982   0.844750458659391    0.014266    
980   0.8357547786251804   0.016139    
978   0.8351077941172771   0.016279    
976   0.8362189523940673   0.016039    
974   0.8367315305954348   0.015929    
972   0.8363306094008167   0.016015    
970   0.8380363784143878   0.015651    
968   0.8370120036006423   0.015869    
966   0.8357872151460982   0.016132    
964   0.8372133960886303   0.015826    
962   0.8356158594540648   0.016169    
960   0.8346384976484589   0.016381    
958   0.8383292557798301   0.015589    
956   0.837260278008236    0.015816    
954   0.8426508143426946   0.014691    
952   0.8413063795675028   0.014967    
950   0.8401683428346257   0.015203    
948   0.8398280109435384   0.015274    
946   0.8406348240539425   0.015106    
944   0.8367268613556111   0.01593     
942   0.8398136513228474   0.015277    
940   0.8362608121506914   0.01603     
938   0.8401107561193903   0.015215    
936   0.8326970457634078   0.016807    
934   0.8315040793240387   0.017072    
932   0.8356991925804013   0.016151    
930   0.8391739467989202   0.015411    
928   0.8370869025178437   0.015853    
926   0.8378901972530796   0.015682    
924   0.8345650401881999   0.016397    
922   0.8395745692088441   0.015327    
920   0.8322996560040039   0.016895    
918   0.8350985754632919   0.016281    
916   0.830958574701804    0.017194    
914   0.82795959855556     0.017874    
912   0.8335456315045708   0.01662     
910   0.8387651211297741   0.015497    
908   0.8290936796539983   0.017615    
906   0.8335866155016497   0.016611    
904   0.8362329040978438   0.016036    
902   0.8305798734862423   0.017279    
900   0.8267272998393416   0.018158    
898   0.8231319512329668   0.019002    
896   0.8334682532963117   0.016637    
894   0.8277330940439678   0.017926    
892   0.814494252953487    0.021125    
890   0.8149048132484499   0.021021    
888   0.8168439286759415   0.020534    
886   0.8198609023178467   0.01979     
884   0.8182872410855919   0.020176    
882   0.8175314152578799   0.020363    
880   0.8194596273977165   0.019888    
878   0.815197694268486    0.020947    
876   0.8148455218105355   0.021036    
874   0.8328826164222549   0.016766    
872   0.8357269825377739   0.016145    
870   0.8167877970554601   0.020548    
868   0.8185996952840774   0.020099    
866   0.8275721667936718   0.017963    
864   0.8109839031477217   0.022027    
862   0.8025613739522828   0.024286    
860   0.8048050221939465   0.023671    
858   0.8190921605687449   0.019978    
856   0.8257206070429759   0.018392    
854   0.8274027554999228   0.018002    
852   0.8209561612747923   0.019524    
850   0.8564568404051675   0.012029    
848   0.8549637045853106   0.012302    
846   0.8060570998757566   0.023332    
844   0.7679587833615631   0.035056    
842   0.7575915956046864   0.038782    
840   0.8032835046268516   0.024087    
838   0.8077289920266789   0.022884    
836   0.7835511790355644   0.029896    
834   0.8092387649864131   0.022484    
832   0.7732274080598682   0.033254    
830   0.785304345905082    0.029348    
828   0.806633301571715    0.023177    
826   0.7839461022918865   0.029772    
824   0.7803784379988341   0.030904    
822   0.7729095528529359   0.033361    
820   0.7868894397199504   0.028858    
818   0.7825715167530853   0.030205    
816   0.777986266425569    0.031678    
814   0.7893915667925993   0.028095    
812   0.7952537948101974   0.026357    
810   0.7894643385289626   0.028073    
808   0.7841056379961625   0.029722    
806   0.7914662568834395   0.027472    
804   0.7804625652543169   0.030877    
802   0.780397128935646    0.030898    
800   0.7788380913989943   0.031401    
798   0.7734505917713272   0.033179    
796   0.7814945573117176   0.030547    
794   0.7803036971401215   0.030928    
792   0.7722166840956389   0.033595    
790   0.7662259626107895   0.035662    
788   0.7637065658373685   0.036555    
786   0.770089300799472    0.03432     
784   0.7675080217702335   0.035213    
782   0.7687254512528959   0.03479     
780   0.7676657852273078   0.035158    
778   0.7612099012105416   0.037454    
776   0.7657659340660233   0.035824    
774   0.7583206829610879   0.038512    
772   0.7528576500330588   0.040565    
770   0.7518402960761074   0.040955    
768   0.7481250265482977   0.0424      
766   0.7531195350540575   0.040465    
764   0.764917541050365    0.036124    
762   0.7576940088311694   0.038744    
760   0.7541080077627536   0.040089    
758   0.7550574286131522   0.03973     
756   0.7519547577746417   0.040911    
754   0.7461363023590077   0.043187    
752   0.7443450555232913   0.043904    
750   0.7458702640684642   0.043293    
748   0.7401445292273594   0.045616    
746   0.7333958192102388   0.048458    
744   0.7388508332205685   0.046152    
742   0.7395567834213403   0.045859    
740   0.7292839142079237   0.050246    
738   0.7299874665279227   0.049937    
736   0.7299030693049432   0.049974    
734   0.7266682953274439   0.051406    
732   0.7264647846597359   0.051497    
730   0.7195558914099163   0.054651    
728   0.7228203248317648   0.053145    
726   0.7249671441139303   0.05217     
724   0.7235461476426831   0.052814    
722   0.7235923000478279   0.052793    
720   0.7208144823966064   0.054067    
718   0.7160063587619245   0.056321    
716   0.7128537891930298   0.057833    
714   0.7104098399663031   0.059024    
712   0.711998336456481    0.058248    
710   0.7098259578007662   0.059311    
708   0.7058277601400631   0.061302    
706   0.7060105291389078   0.06121     
704   0.7055837002257885   0.061425    
702   0.7035961575646115   0.062433    
700   0.6985202251330017   0.065059    
