nm, K-M
420.000000, 0.600929
418.000000, 0.603577
416.000000, 0.606913
414.000000, 0.616511
412.000000, 0.627146
410.000000, 0.628512
408.000000, 0.629365
406.000000, 0.640247
404.000000, 0.647803
402.000000, 0.658066
400.000000, 0.658584
398.000000, 0.656910
396.000000, 0.654930
394.000000, 0.665322
392.000000, 0.656420
390.000000, 0.671222
388.000000, 0.674876
386.000000, 0.671136
384.000000, 0.671461
382.000000, 0.667158
380.000000, 0.664136
378.000000, 0.669850
376.000000, 0.678973
374.000000, 0.673988
372.000000, 0.668755
370.000000, 0.677644
368.000000, 0.686002
366.000000, 0.680307
364.000000, 0.686846
362.000000, 0.695850
360.000000, 0.715772
358.000000, 0.728732
356.000000, 0.754422
354.000000, 0.775037
352.000000, 0.763245
350.000000, 0.789988
348.000000, 0.868774
346.000000, 0.903459
344.000000, 0.967141
342.000000, 0.985658
340.000000, 1.020372
338.000000, 1.023348
336.000000, 1.112752
334.000000, 1.194769
332.000000, 1.273342
330.000000, 1.350070
328.000000, 1.400781
326.000000, 1.500884
324.000000, 1.530402
322.000000, 1.647364
320.000000, 1.463701
318.000000, 1.056761
316.000000, 1.081922
314.000000, 1.095318
312.000000, 1.136745
310.000000, 1.158820
308.000000, 1.195432
306.000000, 1.196682
304.000000, 1.243812
302.000000, 1.267582
300.000000, 1.292722
298.000000, 1.324887
296.000000, 1.316825
294.000000, 1.322176
292.000000, 1.336973
290.000000, 1.356912
288.000000, 1.401954
286.000000, 1.398994
284.000000, 1.357159
282.000000, 1.346572
280.000000, 1.345924
278.000000, 1.315614
276.000000, 1.361768
274.000000, 1.358127
272.000000, 1.311806
270.000000, 1.320999
268.000000, 1.330610
266.000000, 1.320802
264.000000, 1.299445
262.000000, 1.297285
260.000000, 1.291667
258.000000, 1.275692
256.000000, 1.271220
254.000000, 1.268961
252.000000, 1.243161
250.000000, 1.217951
