400.431, 63.168
399.638, 61.921
401.618, 64.272
404.168, 64.966
405.813, 65.998
407.384, 66.907
408.955, 67.778
410.789, 68.748
412.622, 69.742
415.095, 70.636
417.605, 71.656
420.756, 72.331
423.908, 73.006
427.061, 73.510
430.214, 74.001
433.368, 74.381
436.522, 74.725
439.676, 75.007
442.832, 75.240
445.986, 75.547
449.140, 75.977
452.293, 76.455
455.446, 76.909
458.600, 77.278
461.757, 77.314
464.917, 76.897
467.818, 76.104
469.855, 75.086
471.743, 74.097
473.103, 73.262
474.688, 72.405
476.064, 71.435
477.545, 70.493
478.658, 69.594
479.718, 68.674
480.778, 67.753
481.838, 66.833
482.634, 65.986
483.483, 65.088
485.019, 63.922
486.083, 62.513
487.496, 61.310
488.205, 60.334
489.318, 59.329
490.486, 58.136
491.864, 56.899
492.452, 55.842
493.512, 54.903
494.045, 54.057
495.106, 53.044
495.903, 52.093
496.699, 51.240
497.759, 50.246
498.292, 49.436
499.354, 48.337
500.574, 47.149
501.741, 45.993
502.538, 45.017
504.072, 44.056
505.237, 43.128
506.719, 42.156
508.094, 41.194
509.680, 40.286
511.266, 39.402
512.642, 38.460
514.364, 37.446
516.026, 36.420
517.838, 35.563
520.776, 34.748
523.676, 33.941
526.840, 33.155
530.002, 32.554
533.161, 32.235
536.319, 32.198
539.474, 32.382
542.630, 32.578
545.787, 32.505
548.948, 32.112
552.109, 31.523
555.272, 30.897
558.434, 30.246
561.596, 29.633
564.758, 29.019
567.920, 28.467
571.080, 28.037
574.240, 27.718
577.399, 27.522
580.556, 27.473
583.713, 27.473
586.869, 27.620
590.024, 27.804
593.179, 28.135
596.332, 28.577
599.485, 29.117
602.635, 29.903
605.522, 30.728
608.410, 31.523
610.245, 32.345
612.780, 33.241
615.265, 34.216
617.325, 35.156
619.159, 36.000
621.332, 36.877
624.142, 37.979
625.976, 38.843
628.599, 39.756
631.486, 40.642
634.636, 41.513
637.787, 42.274
640.938, 42.974
644.090, 43.502
647.243, 44.054
650.395, 44.594
653.547, 45.208
656.699, 45.883
659.674, 46.668
661.947, 47.515
664.383, 48.355
666.631, 49.280
668.590, 50.178
670.389, 51.082
672.696, 52.050
674.717, 53.131
676.362, 54.118
677.932, 55.149
679.241, 56.008
680.548, 56.941
682.119, 57.910
683.479, 58.887
685.184, 59.916
686.830, 60.905
688.401, 61.789
689.972, 62.672
691.543, 63.556
693.265, 64.471
695.212, 65.360
696.783, 66.244
699.405, 67.267
702.292, 68.109
705.444, 68.748
708.597, 69.214
711.752, 69.459
714.909, 69.521
718.066, 69.496
721.224, 69.337
724.383, 69.104
727.541, 68.956
730.701, 68.686
733.860, 68.453
737.019, 68.220
740.178, 67.987
743.336, 67.766
746.496, 67.496
749.654, 67.299
752.814, 67.029
755.972, 66.870
759.130, 66.723
762.288, 66.563
765.447, 66.342
768.605, 66.256
771.763, 66.109
774.922, 65.913
778.080, 65.839
781.237, 65.839
784.394, 65.790
787.552, 65.618
790.709, 65.618
793.867, 65.507
797.024, 65.606
