nm, %R
494.000000, 46.098587
492.000000, 45.817802
490.000000, 45.313727
488.000000, 45.015704
486.000000, 44.788172
484.000000, 44.567364
482.000000, 44.133908
480.000000, 43.922279
478.000000, 43.867797
476.000000, 43.453282
474.000000, 43.493835
472.000000, 43.567011
470.000000, 43.090555
468.000000, 43.020977
466.000000, 42.855764
464.000000, 42.490424
462.000000, 42.296066
460.000000, 42.042687
458.000000, 41.772581
456.000000, 41.435036
454.000000, 41.212066
452.000000, 41.256914
450.000000, 41.035828
448.000000, 40.678830
446.000000, 40.508482
444.000000, 40.449095
442.000000, 40.247568
440.000000, 39.917038
438.000000, 39.608178
436.000000, 39.611099
434.000000, 39.551318
432.000000, 39.192647
430.000000, 38.972384
428.000000, 38.804395
426.000000, 38.627183
424.000000, 38.620811
422.000000, 38.274367
420.000000, 38.369439
418.000000, 38.292613
416.000000, 38.149718
414.000000, 37.973158
412.000000, 37.747373
410.000000, 37.688576
408.000000, 37.450556
406.000000, 37.479801
404.000000, 37.258716
402.000000, 37.296205
400.000000, 37.413009
398.000000, 37.317147
396.000000, 37.084838
394.000000, 36.884561
392.000000, 37.066650
390.000000, 37.224167
388.000000, 37.122347
386.000000, 36.855827
384.000000, 37.222526
382.000000, 37.650941
380.000000, 37.613803
378.000000, 38.144758
376.000000, 36.674509
374.000000, 36.947656
372.000000, 36.933491
370.000000, 37.718456
368.000000, 37.547432
366.000000, 36.958630
364.000000, 36.763724
362.000000, 36.538219
360.000000, 35.948722
358.000000, 35.344152
356.000000, 34.968718
354.000000, 34.466795
352.000000, 34.063801
350.000000, 33.630755
348.000000, 32.147628
346.000000, 31.675683
344.000000, 30.844459
342.000000, 30.097780
340.000000, 28.945809
338.000000, 27.778144
336.000000, 27.397406
334.000000, 26.176117
332.000000, 25.041121
330.000000, 23.490534
328.000000, 21.980648
326.000000, 22.030543
324.000000, 21.621407
322.000000, 20.215263
320.000000, 21.724114
318.000000, 26.308709
316.000000, 25.464509
314.000000, 25.147399
312.000000, 24.461503
310.000000, 24.183788
308.000000, 23.875844
306.000000, 23.483850
304.000000, 22.729023
302.000000, 22.379120
300.000000, 22.151077
298.000000, 22.373779
296.000000, 21.790050
294.000000, 21.773242
292.000000, 21.914690
290.000000, 21.609253
288.000000, 21.296152
286.000000, 21.578164
284.000000, 21.583921
282.000000, 21.358700
280.000000, 21.286416
278.000000, 21.454252
276.000000, 21.863667
274.000000, 21.792490
272.000000, 21.786258
270.000000, 21.595746
268.000000, 21.694231
266.000000, 22.183438
264.000000, 21.888299
262.000000, 21.794617
260.000000, 21.820151
258.000000, 21.870033
256.000000, 21.732763
254.000000, 21.615107
252.000000, 21.688389
250.000000, 21.543340
