nm, K-M
420.000000, 0.858367
418.000000, 0.856942
416.000000, 0.864733
414.000000, 0.869785
412.000000, 0.869210
410.000000, 0.872519
408.000000, 0.877902
406.000000, 0.873960
404.000000, 0.870122
402.000000, 0.883201
400.000000, 0.883683
398.000000, 0.882554
396.000000, 0.878242
394.000000, 0.887801
392.000000, 0.884807
390.000000, 0.875007
388.000000, 0.890716
386.000000, 0.888823
384.000000, 0.883293
382.000000, 0.876909
380.000000, 0.882726
378.000000, 0.885285
376.000000, 0.923287
374.000000, 0.923998
372.000000, 0.928542
370.000000, 0.925709
368.000000, 0.955192
366.000000, 0.965473
364.000000, 0.972184
362.000000, 1.001392
360.000000, 1.020928
358.000000, 1.067347
356.000000, 1.116200
354.000000, 1.138998
352.000000, 1.170817
350.000000, 1.258309
348.000000, 1.340652
346.000000, 1.353035
344.000000, 1.458122
342.000000, 1.504769
340.000000, 1.567033
338.000000, 1.674514
336.000000, 1.748780
334.000000, 1.868284
332.000000, 1.969329
330.000000, 2.021612
328.000000, 2.085451
326.000000, 2.198118
324.000000, 2.237052
322.000000, 2.368043
320.000000, 1.945040
318.000000, 1.279487
316.000000, 1.332161
314.000000, 1.335215
312.000000, 1.303350
310.000000, 1.298613
308.000000, 1.340978
306.000000, 1.382343
304.000000, 1.396528
302.000000, 1.379665
300.000000, 1.357850
298.000000, 1.366784
296.000000, 1.379325
294.000000, 1.378482
292.000000, 1.374875
290.000000, 1.395704
288.000000, 1.387112
286.000000, 1.341628
284.000000, 1.346058
282.000000, 1.330446
280.000000, 1.335129
278.000000, 1.331920
276.000000, 1.290851
274.000000, 1.295492
272.000000, 1.271438
270.000000, 1.235861
268.000000, 1.245151
266.000000, 1.262929
264.000000, 1.228512
262.000000, 1.198401
260.000000, 1.190383
258.000000, 1.212015
256.000000, 1.196712
254.000000, 1.178460
252.000000, 1.151723
250.000000, 1.128678
