nm, %R
1000.000000, 84.939824
998.000000, 84.431617
996.000000, 84.992270
994.000000, 84.906825
992.000000, 84.644565
990.000000, 84.767828
988.000000, 85.163617
986.000000, 85.090009
984.000000, 84.695137
982.000000, 85.080591
980.000000, 84.680730
978.000000, 84.271565
976.000000, 84.823188
974.000000, 84.695405
972.000000, 84.933836
970.000000, 84.745097
968.000000, 85.617739
966.000000, 84.723962
964.000000, 84.946514
962.000000, 84.616767
960.000000, 84.882467
958.000000, 84.771222
956.000000, 84.998716
954.000000, 85.692196
952.000000, 84.928197
950.000000, 85.089256
948.000000, 84.689638
946.000000, 84.712136
944.000000, 84.765457
942.000000, 84.760660
940.000000, 84.734519
938.000000, 85.075545
936.000000, 84.971912
934.000000, 84.935222
932.000000, 84.681021
930.000000, 85.391839
928.000000, 84.865364
926.000000, 85.701672
924.000000, 85.050464
922.000000, 85.381628
920.000000, 85.069617
918.000000, 85.467217
916.000000, 85.188168
914.000000, 84.568154
912.000000, 84.839339
910.000000, 85.383937
908.000000, 84.999707
906.000000, 84.081219
904.000000, 83.935537
902.000000, 83.951921
900.000000, 84.252799
898.000000, 84.364318
896.000000, 83.539563
894.000000, 85.132256
892.000000, 84.161340
890.000000, 84.545447
888.000000, 84.280811
886.000000, 84.031273
884.000000, 85.015435
882.000000, 84.754663
880.000000, 84.032003
878.000000, 84.532075
876.000000, 85.773724
874.000000, 85.640801
872.000000, 86.743652
870.000000, 84.293250
868.000000, 84.534613
866.000000, 85.181057
864.000000, 83.934155
862.000000, 82.958197
860.000000, 84.907179
858.000000, 85.342168
856.000000, 86.732439
854.000000, 86.493987
852.000000, 85.496753
850.000000, 85.175491
848.000000, 85.609298
846.000000, 84.129790
844.000000, 86.614233
842.000000, 84.301383
840.000000, 83.809247
838.000000, 83.289158
836.000000, 84.902447
834.000000, 84.220344
832.000000, 81.721870
830.000000, 84.455606
828.000000, 85.728933
826.000000, 83.461411
824.000000, 83.634908
822.000000, 84.297270
820.000000, 84.913817
818.000000, 84.413543
816.000000, 83.563341
814.000000, 84.638351
812.000000, 86.443186
810.000000, 84.893827
808.000000, 84.981728
806.000000, 85.282923
804.000000, 84.779789
802.000000, 84.685261
800.000000, 84.145691
798.000000, 83.919041
796.000000, 85.050731
794.000000, 85.064891
792.000000, 84.368630
790.000000, 83.751428
788.000000, 83.950043
786.000000, 84.687166
784.000000, 83.826602
782.000000, 83.839479
780.000000, 83.839178
778.000000, 83.541015
776.000000, 84.247348
774.000000, 83.888512
772.000000, 83.487171
770.000000, 83.974031
768.000000, 84.007092
766.000000, 84.574238
764.000000, 84.783000
762.000000, 84.663423
760.000000, 84.509953
758.000000, 84.225004
756.000000, 84.469798
754.000000, 84.208747
752.000000, 83.994521
750.000000, 84.271720
748.000000, 83.901247
746.000000, 83.930364
744.000000, 84.595255
742.000000, 84.382825
740.000000, 84.224168
738.000000, 84.340026
736.000000, 84.400942
734.000000, 84.537123
732.000000, 84.466959
730.000000, 84.158032
728.000000, 84.356872
726.000000, 84.681649
724.000000, 84.691252
722.000000, 84.454920
720.000000, 84.803133
718.000000, 84.748213
716.000000, 84.610756
714.000000, 84.570920
712.000000, 84.606077
710.000000, 84.511943
708.000000, 84.327862
706.000000, 84.290785
704.000000, 84.124883
702.000000, 84.429207
700.000000, 84.466913
698.000000, 84.601602
696.000000, 84.506265
694.000000, 84.574059
692.000000, 84.548404
690.000000, 84.437294
688.000000, 84.459713
686.000000, 83.983959
684.000000, 83.502297
682.000000, 83.376761
680.000000, 83.883032
678.000000, 84.055600
676.000000, 83.605274
674.000000, 83.720367
672.000000, 83.977422
670.000000, 83.872327
668.000000, 83.853143
666.000000, 83.783803
664.000000, 83.601238
662.000000, 83.643483
660.000000, 83.746395
658.000000, 83.437357
656.000000, 83.789494
654.000000, 83.614075
652.000000, 83.502816
650.000000, 83.614625
648.000000, 84.032271
646.000000, 83.773912
644.000000, 83.541719
642.000000, 83.886243
640.000000, 83.733584
638.000000, 83.666538
636.000000, 83.802073
634.000000, 83.846132
632.000000, 83.898758
630.000000, 84.025639
628.000000, 84.098979
626.000000, 83.908559
624.000000, 83.831090
622.000000, 83.716498
620.000000, 83.769250
618.000000, 83.700797
616.000000, 83.847565
614.000000, 83.846503
612.000000, 83.528014
610.000000, 83.877978
608.000000, 83.734436
606.000000, 83.511660
604.000000, 83.764915
602.000000, 83.309095
600.000000, 83.348229
598.000000, 83.545524
596.000000, 83.682002
594.000000, 83.790944
592.000000, 83.476101
590.000000, 83.392570
588.000000, 83.735480
586.000000, 83.875738
584.000000, 83.296518
582.000000, 83.296585
580.000000, 83.536104
578.000000, 83.335951
576.000000, 83.627363
574.000000, 83.606934
572.000000, 83.520537
570.000000, 83.471232
568.000000, 83.271573
566.000000, 83.367562
564.000000, 82.744580
562.000000, 82.925178
560.000000, 83.351425
558.000000, 83.366461
556.000000, 83.344341
554.000000, 82.854295
552.000000, 82.963964
550.000000, 83.236474
548.000000, 83.359570
546.000000, 83.352884
544.000000, 83.386106
542.000000, 83.352364
540.000000, 83.094663
538.000000, 83.214468
536.000000, 83.127858
534.000000, 83.030151
532.000000, 83.013605
530.000000, 82.940572
528.000000, 82.885254
526.000000, 82.739115
524.000000, 82.808973
522.000000, 82.848213
520.000000, 82.786176
518.000000, 82.727096
516.000000, 82.747662
514.000000, 82.973509
512.000000, 82.945318
510.000000, 83.031750
508.000000, 82.951442
506.000000, 83.004164
504.000000, 83.136195
502.000000, 83.101729
500.000000, 83.052265
498.000000, 82.721125
496.000000, 82.697963
