nm, K-M
420.000000, 0.034905
418.000000, 0.034001
416.000000, 0.035344
414.000000, 0.035656
412.000000, 0.038034
410.000000, 0.039675
408.000000, 0.042317
406.000000, 0.045372
404.000000, 0.047761
402.000000, 0.049785
400.000000, 0.055121
398.000000, 0.060812
396.000000, 0.066962
394.000000, 0.072242
392.000000, 0.078186
390.000000, 0.089395
388.000000, 0.097736
386.000000, 0.107695
384.000000, 0.119703
382.000000, 0.127646
380.000000, 0.144166
378.000000, 0.155127
376.000000, 0.182010
374.000000, 0.202061
372.000000, 0.223068
370.000000, 0.250642
368.000000, 0.268455
366.000000, 0.306294
364.000000, 0.330735
362.000000, 0.379220
360.000000, 0.418858
358.000000, 0.459879
356.000000, 0.506211
354.000000, 0.564789
352.000000, 0.587801
350.000000, 0.639767
348.000000, 0.708861
346.000000, 0.761869
344.000000, 0.845524
342.000000, 0.901464
340.000000, 0.972997
338.000000, 1.049278
336.000000, 1.136140
334.000000, 1.245838
332.000000, 1.316228
330.000000, 1.354910
328.000000, 1.478259
326.000000, 1.534683
324.000000, 1.659234
322.000000, 1.778584
320.000000, 1.546847
318.000000, 1.133981
316.000000, 1.153743
314.000000, 1.163834
312.000000, 1.208714
310.000000, 1.209115
308.000000, 1.182429
306.000000, 1.267611
304.000000, 1.326327
302.000000, 1.300035
300.000000, 1.310653
298.000000, 1.295176
296.000000, 1.316703
294.000000, 1.312966
292.000000, 1.300800
290.000000, 1.332461
288.000000, 1.343058
286.000000, 1.335071
284.000000, 1.343997
282.000000, 1.351137
280.000000, 1.356207
278.000000, 1.324147
276.000000, 1.290361
274.000000, 1.294157
272.000000, 1.261224
270.000000, 1.252515
268.000000, 1.239431
266.000000, 1.237874
264.000000, 1.223724
262.000000, 1.196216
260.000000, 1.192171
258.000000, 1.186076
256.000000, 1.174637
254.000000, 1.161121
252.000000, 1.115995
250.000000, 1.061511
