nm, K-M
420.000000, 0.025888
418.000000, 0.025628
416.000000, 0.027402
414.000000, 0.027933
412.000000, 0.030038
410.000000, 0.031389
408.000000, 0.034372
406.000000, 0.036287
404.000000, 0.038745
402.000000, 0.041773
400.000000, 0.046331
398.000000, 0.050226
396.000000, 0.053681
394.000000, 0.060580
392.000000, 0.063806
390.000000, 0.070323
388.000000, 0.077363
386.000000, 0.081888
384.000000, 0.087342
382.000000, 0.093353
380.000000, 0.105897
378.000000, 0.120904
376.000000, 0.131541
374.000000, 0.144674
372.000000, 0.164027
370.000000, 0.179466
368.000000, 0.189640
366.000000, 0.217940
364.000000, 0.254549
362.000000, 0.286611
360.000000, 0.321320
358.000000, 0.356131
356.000000, 0.401222
354.000000, 0.451710
352.000000, 0.507461
350.000000, 0.544528
348.000000, 0.638407
346.000000, 0.715381
344.000000, 0.816952
342.000000, 0.890999
340.000000, 0.970949
338.000000, 1.090361
336.000000, 1.223350
334.000000, 1.351926
332.000000, 1.512578
330.000000, 1.694663
328.000000, 1.821784
326.000000, 1.891829
324.000000, 2.010563
322.000000, 2.218842
320.000000, 1.941077
318.000000, 1.382561
316.000000, 1.416961
314.000000, 1.426718
312.000000, 1.470832
310.000000, 1.474581
308.000000, 1.497872
306.000000, 1.597264
304.000000, 1.578505
302.000000, 1.541731
300.000000, 1.547921
298.000000, 1.552544
296.000000, 1.512844
294.000000, 1.525479
292.000000, 1.516807
290.000000, 1.563611
288.000000, 1.585238
286.000000, 1.524744
284.000000, 1.474858
282.000000, 1.492355
280.000000, 1.505303
278.000000, 1.494370
276.000000, 1.468773
274.000000, 1.471679
272.000000, 1.488983
270.000000, 1.433786
268.000000, 1.420790
266.000000, 1.453123
264.000000, 1.426598
262.000000, 1.359187
260.000000, 1.377980
258.000000, 1.407568
256.000000, 1.406016
254.000000, 1.401924
252.000000, 1.398674
250.000000, 1.402067
