nm, K-M
420.000000, 0.494968
418.000000, 0.497198
416.000000, 0.501374
414.000000, 0.506585
412.000000, 0.513332
410.000000, 0.515105
408.000000, 0.522346
406.000000, 0.521451
404.000000, 0.528261
402.000000, 0.527100
400.000000, 0.523499
398.000000, 0.526452
396.000000, 0.533684
394.000000, 0.540004
392.000000, 0.534255
390.000000, 0.529334
388.000000, 0.532509
386.000000, 0.540917
384.000000, 0.529385
382.000000, 0.516243
380.000000, 0.517368
378.000000, 0.501520
376.000000, 0.546717
374.000000, 0.538004
372.000000, 0.538452
370.000000, 0.514203
368.000000, 0.519386
366.000000, 0.537657
364.000000, 0.543855
362.000000, 0.551121
360.000000, 0.570614
358.000000, 0.591382
356.000000, 0.604693
354.000000, 0.623006
352.000000, 0.638153
350.000000, 0.654888
348.000000, 0.716063
346.000000, 0.736876
344.000000, 0.775259
342.000000, 0.811741
340.000000, 0.872095
338.000000, 0.938867
336.000000, 0.961977
334.000000, 1.041019
332.000000, 1.121921
330.000000, 1.245970
328.000000, 1.384631
326.000000, 1.379729
324.000000, 1.420630
322.000000, 1.574455
320.000000, 1.410210
318.000000, 1.032055
316.000000, 1.090840
314.000000, 1.114014
312.000000, 1.166336
310.000000, 1.188420
308.000000, 1.213546
306.000000, 1.246542
304.000000, 1.313476
302.000000, 1.346121
300.000000, 1.367982
298.000000, 1.346628
296.000000, 1.403576
294.000000, 1.405263
292.000000, 1.391148
290.000000, 1.421870
288.000000, 1.454323
286.000000, 1.425048
284.000000, 1.424459
282.000000, 1.447760
280.000000, 1.455348
278.000000, 1.437812
276.000000, 1.396217
274.000000, 1.403331
272.000000, 1.403956
270.000000, 1.423249
268.000000, 1.413231
266.000000, 1.364851
264.000000, 1.393767
262.000000, 1.403118
260.000000, 1.400561
258.000000, 1.395584
256.000000, 1.409338
254.000000, 1.421272
252.000000, 1.413823
250.000000, 1.428620
