nm, %R
494.000000, 44.356266
492.000000, 44.020869
490.000000, 43.562168
488.000000, 43.018986
486.000000, 42.969234
484.000000, 42.732050
482.000000, 42.312652
480.000000, 41.879844
478.000000, 41.925428
476.000000, 41.603985
474.000000, 41.417379
472.000000, 41.336367
470.000000, 40.941916
468.000000, 40.730162
466.000000, 40.395123
464.000000, 39.981901
462.000000, 39.788492
460.000000, 39.725120
458.000000, 39.169906
456.000000, 39.116916
454.000000, 38.633869
452.000000, 38.532965
450.000000, 38.299189
448.000000, 38.066916
446.000000, 37.849945
444.000000, 37.599645
442.000000, 37.393845
440.000000, 37.236712
438.000000, 36.922612
436.000000, 36.646769
434.000000, 36.354993
432.000000, 36.133166
430.000000, 35.985236
428.000000, 35.813438
426.000000, 35.440778
424.000000, 35.338140
422.000000, 35.003970
420.000000, 34.942039
418.000000, 34.746247
416.000000, 34.597817
414.000000, 34.446396
412.000000, 34.340404
410.000000, 34.224299
408.000000, 33.875937
406.000000, 33.689128
404.000000, 33.598399
402.000000, 33.764398
400.000000, 33.719587
398.000000, 33.427232
396.000000, 33.325470
394.000000, 33.161830
392.000000, 33.308379
390.000000, 33.593707
388.000000, 33.189980
386.000000, 33.263829
384.000000, 33.211740
382.000000, 33.148146
380.000000, 33.195939
378.000000, 33.275782
376.000000, 32.622969
374.000000, 32.612163
372.000000, 32.486420
370.000000, 32.747938
368.000000, 32.985854
366.000000, 32.574802
364.000000, 32.373753
362.000000, 31.880423
360.000000, 31.605488
358.000000, 31.501551
356.000000, 30.970392
354.000000, 30.679384
352.000000, 30.181136
350.000000, 29.629024
348.000000, 28.997973
346.000000, 28.325513
344.000000, 27.239432
342.000000, 27.016447
340.000000, 26.760099
338.000000, 25.849599
336.000000, 24.457550
334.000000, 23.540036
332.000000, 22.423539
330.000000, 22.011663
328.000000, 21.437572
326.000000, 20.453686
324.000000, 19.598234
322.000000, 18.936491
320.000000, 20.726534
318.000000, 25.466171
316.000000, 24.962539
314.000000, 24.723781
312.000000, 24.435502
310.000000, 23.674398
308.000000, 23.291494
306.000000, 23.521051
304.000000, 23.212839
302.000000, 22.657381
300.000000, 22.902399
298.000000, 22.659957
296.000000, 22.561689
294.000000, 21.997319
292.000000, 21.592361
290.000000, 21.749514
288.000000, 21.311332
286.000000, 21.495385
284.000000, 21.535174
282.000000, 21.443761
280.000000, 21.519649
278.000000, 21.895166
276.000000, 22.013359
274.000000, 21.917271
272.000000, 21.981346
270.000000, 22.338357
268.000000, 22.648657
266.000000, 22.521248
264.000000, 22.557713
262.000000, 22.906663
260.000000, 23.016644
258.000000, 23.025045
256.000000, 23.018042
254.000000, 23.078976
252.000000, 23.448290
250.000000, 24.032246
