nm, K-M
420.000000, 0.027220
418.000000, 0.026430
416.000000, 0.028131
414.000000, 0.028951
412.000000, 0.030082
410.000000, 0.030571
408.000000, 0.032054
406.000000, 0.033954
404.000000, 0.035316
402.000000, 0.036689
400.000000, 0.037252
398.000000, 0.041553
396.000000, 0.044514
394.000000, 0.047894
392.000000, 0.050467
390.000000, 0.053425
388.000000, 0.061152
386.000000, 0.064302
384.000000, 0.068852
382.000000, 0.074832
380.000000, 0.081163
378.000000, 0.086341
376.000000, 0.094700
374.000000, 0.114254
372.000000, 0.123180
370.000000, 0.130352
368.000000, 0.142109
366.000000, 0.151788
364.000000, 0.175051
362.000000, 0.191091
360.000000, 0.214639
358.000000, 0.237318
356.000000, 0.264651
354.000000, 0.299619
352.000000, 0.328409
350.000000, 0.351752
348.000000, 0.403395
346.000000, 0.452584
344.000000, 0.489617
342.000000, 0.537615
340.000000, 0.595695
338.000000, 0.641377
336.000000, 0.691736
334.000000, 0.794113
332.000000, 0.893738
330.000000, 0.938933
328.000000, 1.006123
326.000000, 1.100003
324.000000, 1.220681
322.000000, 1.343457
320.000000, 1.140459
318.000000, 0.905207
316.000000, 0.951692
314.000000, 0.924602
312.000000, 0.977637
310.000000, 0.990507
308.000000, 1.042713
306.000000, 1.086588
304.000000, 1.098538
302.000000, 1.094656
300.000000, 1.098259
298.000000, 1.141974
296.000000, 1.160854
294.000000, 1.163262
292.000000, 1.187251
290.000000, 1.206761
288.000000, 1.240565
286.000000, 1.218659
284.000000, 1.198753
282.000000, 1.218666
280.000000, 1.182848
278.000000, 1.148436
276.000000, 1.143544
274.000000, 1.165777
272.000000, 1.178481
270.000000, 1.173704
268.000000, 1.153397
266.000000, 1.122853
264.000000, 1.120582
262.000000, 1.109383
260.000000, 1.095950
258.000000, 1.101808
256.000000, 1.083226
254.000000, 1.058395
252.000000, 1.029209
250.000000, 1.007070
